productId;title;genres
164;cloruro de magnesio 6 hidratos;
165;cloruro de magnesio anhidro;
166;cloruro de manganeso;
167;cloruro de mercurio;
168;cloruro de niquel;
169;cloruro de plata;
170;cloruro de plomo;
171;cloruro de potasio;
172;cloruro de sodio;
173;cloruro de zinc;
174;cloruro estañoso;
175;cloruro ferrico anhidro;
176;cloruro ferrico anhidro;
177;cloruro ferrico hexahidratado;
178;cloruro ferrico hexahidratado;
179;cloruro ferroso;
180;cobre en barras 99.99 %;
181;compèrlan;
182;comperlan kd usp;
183;cremor  tartaro q.p.;
184;cremor  tartaro usp a granel;
185;cromato de amonio;
186;cromato de bario;
187;cromato de calcio;
188;cromato de plomo tco;
189;cromato de potasio;
190;cromato de sodio;
191;dextrosa anhidra p.a.;
192;dextrosa anhidra usp a granel;
193;dicromato de amonio;
194;dicromato de potasio;
195;dicromato de sodio;
196;dioxido de plomo p.a.;
197;dioxido de selenio;
198;dioxido titanio p.a.;
199;dioxido titanio usp a granel;
200;di-sodio hidrogeno fosfato;
201;edta disodica magnesica;
202;edta disodico dihidratado;
203;edta disodico p.a.;
204;edta tetrasodico usp;
205;espemaceti usp;
206;esperma ballena usp;
207;estaño metalico granallas;
208;estaño polvo puro;
209;estearato de magnesio;
210;euperlan;
211;extracto de malta;
212;fenol p.a. “lobachemi”;
213;fenolftaleina p.a.”nilechemi”;
214;ferrocianuro de potasio p.a.;
215;fluoruro de amonio p.a.;
216;fluoruro de calcio p.a.;
217;fluoruro de estaño p.a.;
218;fluoruro de potasio p.a.;
219;fluoruro de sodio p.a.;
220;formiato de estroncio;
221;fosfato amoniacal;
222;fosfato amoniacal dihidrato;
223;fosfato anhidro disodico;
224;fosfato de calcio tribasico usp;
225;fosfato de sodio dibasico;
226;fosfato diacido de potasio;
227;fosfato dibasico de potasio;
228;fosfato dipotasico;
229;fosfato disodico;
230;fosfato disodico 12 hidratos;
231;fosfato disodico 2 hidratos;
232;fosfato disodico 7 hidratos;
233;fosfato disodico amoniacal;
234;fosfato disodico dihidrato;
235;fosfato disodico heptahidrato;
